Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [08/Feb/2020 19:40:16] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2020 19:40:16] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2020 19:40:16] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2020 19:40:16] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2020 19:40:16] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2020 19:40:16] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2020 19:40:16] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2020 19:40:17] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2020 19:40:17] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2020 19:40:17] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2020 19:40:17] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2020 19:40:17] "GET / HTTP/1.1" 200 -
